id,message,dirs,opinion,https://github.com/Azure-Samples/java-native-telemetry/,pull_req_id,pull_req_title,pull_req_body
14931eec3bc45758c59e7503762912fb779a1ecb,update .devcontainer file (#68),.devcontainer empty code/quarkus-telemetry docs/assets,adaptive,,68.0,update .devcontainer file,"#67

update .devcontainer.json and add docs"
f6cd41700c9da44a74abfd1703369673740024bd,Update VeggieController.java (#70),code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller,perfective,,70.0,Type mismatch in VeggieController.java,"There is a type mismatch in VeggieController.java.
The field ""id"" is defined with String in Veggie.java, while a parameter in methods ""deleteVeggie"" and ""getVeggieById"" is defined with Long. If this mismatch is not fixed, both methods always return 400 (Bad request)."
7521a568bc7a62717c43b2540aeefa6b2fab5667,Bump quarkus-opentelemetry-exporter-azure (#69),code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-vegetable,adaptive,,69.0,Bump quarkus-opentelemetry-exporter-azure,Fix this issue: https://github.com/Azure/azure-sdk-for-java/issues/41040
37c58f2314e2236557944f71e44f172b170f9f3f,Remove workaround for Spring native (#62),code/spring-boot-telemetry/src/main/resources/META-INF/native-image code/spring-boot-telemetry/src/main/resources/native-image,perfective,,62.0,Remove workaround for Spring native, Bug fixed with https://github.com/Azure-Samples/java-native-telemetry/pull/61 (see https://github.com/Azure/azure-sdk-for-java/pull/40151).
d9fcd99520f9af723ac59e40c13bcf8d0cb7a208,Bump Spring telemetry dependency (#61),code/spring-boot-telemetry code/spring-boot-telemetry/src/main/resources,adaptive,,61.0,Bump Spring telemetry dependency,
9b8e68afbdc409b7711b4c6afdae787841f49dbe,bump to quarkus 3.11.2 (#59),code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-vegetable code/quarkus-telemetry/quarkus-telemetry-vegetable/src/main/java/com/azure/examples/quarkus/client,adaptive,,59.0,Bump to Quarkus 3.11.2,
b12e2b0787acf9ca66d1596955313b08937598a8,"Add missing dependencies (#56)
",code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-vegetable code/quarkus-telemetry/quarkus-telemetry-vegetable/src/main/resources,adaptive,,56.0,Add missing dependencies,
c6a5bdfc75c864b4e0754e8a4df984ddc56d0c9b,"New main with all the monitoring on (#52)
* added otel

* add application insights connection

* Create an auto-deploy file

* change order

* clean dockerfile

* JAR signature verification for ahead-of-time (AOT)

* update container app name

* update paths

* update action

* update java version

* add buildarg

* update graalvm options

* add graalvm native

* change to ce22 instead of muslib

* wrap args

* jvmarg

* update folder structure

* remove optional arg

* update path

* update path

* Adding 'Init-at-build-time' args and removing musl

* Back to using MUSL

* Update Dockerfile to use 21

* Update Dockerfile

* update gh action for main branch

* add spring app name

* Update sakriema-native-spring-AutoDeployTrigger-a70b357f-0a8a-41f1-9ce9-53a5cef3123e.yml

* Create an auto-deploy file

* set trigger path fot whole quarkus superheros app

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

use absolute path

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

reset to relative path

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

debug echos for gh action

* add env variables

* typo

* add path

* Copy multistage dockerfile from src/main/docker

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

change database url back to pure postkresql

* remove custom sys vars from dockerfile

* cleanups

* DB config tweak

* add application insights connection string

* typo

* add quarkus call

* merge main

* Endpoint with exception

* Update aca-spring-native-AutoDeployTrigger-78625412-9760-4d65-82c5-5b228fd9ff1b.yml

* Unlink the containerApp aca-spring-native from this repo

* remove IT test

* Update sakriema-native-spring-AutoDeployTrigger-a70b357f-0a8a-41f1-9ce9-53a5cef3123e.yml

* remove action to reset it

* remove action from branch

* Create an auto-deploy file

* add env variables

* add missing dependency

* readd needed buildArg to pom.xml

* skip tests

* Update application.properties

* recreate table at service deployment

* add misssing superhero service url

* enable root for spring service

* Update application.properties

Revert to update

* use Strings for ID

* create db

* update orm in quarkus

* Update quarkus-native-monitoring-AutoDeployTrigger-cd1d418e-9e7d-4855-bcfa-dc4948f26827.yml

update database url

* Update Spring app

* hibernate generation mode

* Rename Quarkus app

(cherry picked from commit bc49d3c)

* update tests

* Hello  DevoxxFR

* Rename branches to main on github actions

* Update code/spring-boot-telemetry/src/main/resources/application.properties

* Update code/spring-boot-telemetry/src/main/resources/application.properties

* address PR review

---------",.github/workflows code/quarkus-telemetry/quarkus-telemetry-superhero code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/resources code/quarkus-telemetry/quarkus-telemetry-vegetable/src/main/docker code/spring-boot-telemetry code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot code/spring-boot-telemetry/src/main/java/com/azure/examples/springboot/controller code/spring-boot-telemetry/src/main/resources/META-INF/native-image code/spring-boot-telemetry/src/main/resources code/spring-boot-telemetry/src/test/java/com/azure/examples/springboot/controller,opinion,,52.0,New main with all the monitoring on,
3f85c35e1f604ba68a8fcd6da0e4ebd43a8f00d7,"Merge pull request #49 from brunobat/main
Remove it test from main",code/quarkus-telemetry/quarkus-telemetry-superhero/src/test/java/com/azure/examples/quarkus/superhero/message,perfective,,49.0,Remove it test from main,
ba426a4fb5092bb27a7ccd1b378cc0e4b24bdbba,Reuse create-drop for Hibernate DDL (#47),code/quarkus-telemetry/quarkus-telemetry-superhero/src/main/resources code/spring-boot-telemetry/src/main/resources,perfective,,47.0,Reuse create-drop for Hibernate DDL,
