id,message,dirs,pull_req_id,pull_req_title,pull_req_body,opinion,ecosystem,repo
88433bade2001e4da88e518206ab9826a8f38087,"Update dependabot and Gradle files

This commit changes the dependency-management plugin in Gradle
build files so that the version number is not set excplicitly
but rather managed by Boot.",initial .github complete,68.0,remove unused run.sh.,"#67 
removed run.sh.",adaptive,spring-guides,gs-accessing-data-jpa
8ba91678036420e0b8b6f3ff005a8d1a8c56831a,"remove unused run.sh. (#68)

Co-authored-by: kimhk <kimhk@goodmit.co.kr>",test,65.0,Update Spring Boot version to 3.1.5,"Update Spring Boot version throughout the repo to 3.1.5 (latest currently).

Fixes #64",adaptive,spring-guides,gs-accessing-data-jpa
657ded34366357d1df034c8b4e184d8a33816cd3,Create dependabot config file,.github,62.0,Clean up application run source,Remove the comment section and also the for loop and replacing it likewise with the findByLastname() fetching method,preventive,spring-guides,gs-accessing-data-jpa
2019310a8a7c9e47e6bbdb4ea0f0d2e9dbbbe695,Update CI to use a shared build,.github/workflows,59.0,Update to Spring Boot 2.6.3,,adaptive,spring-guides,gs-accessing-data-jpa
8e9d4a49a1d396451a56175d00f7b15e97b03414,"Upgrade Spring Boot to 3.3.0.

Had to upgrade the Gradle wrapper, too.",initial initial/gradle/wrapper complete/gradle/wrapper complete,54.0,Version update,"Updated the Spring Boot version and the Gradle and Maven wrappers.

Also removed the Initializr image and updated the README to match.",adaptive,spring-guides,gs-accessing-data-jpa
09c804f7d67f9e4d68e0a4e67cde308a926b1387,Remove Jenkinsfile since we now have a GitHub action.,.,55.0,Removed duplicate block and fixed wrong method,,preventive,spring-guides,gs-accessing-data-jpa
f74c592c49b3c71727209cfc27fc2a8f61edb5eb,"Update to Spring Boot 3.2.0

Also fixed a typo in the readme.",initial complete .,50.0,Update README.adoc,The world in the NOTE line 30 : `accesing-data-jpa` spell wrong,adaptive,spring-guides,gs-accessing-data-jpa
1faa3cdd097f9a3729fdb21ccf61bc3313887015,"Update Spring Boot version to 3.1.5

Signed-off-by: Oscar <71343264+0scvr@users.noreply.github.com>",initial complete .,,,,adaptive,spring-guides,gs-accessing-data-jpa
98807ac743d3d6c9e1a2d18bb835b2fff6d18608,"Clean up application run source

Remove the comment section and also the for loop and replacing it likewise with the findByLastname fetching method",complete/src/main/java/com/example/accessingdatajpa,,,,perfective,spring-guides,gs-accessing-data-jpa
bd37d19750d7d23885dcff20538794656dde94c8,Added GitHub Actions,.github/workflows,,,,additive,spring-guides,gs-accessing-data-jpa
cff6aae8169aa93ba7bbfee94984c0784f40e258,Upgrade to Spring Boot 3.1.0,initial complete .,,,,adaptive,spring-guides,gs-accessing-data-jpa
968981c6a08362eab5ef864b86418347e959bb1d,"Remove the Java version

to use the default.

Also update the Initializr link.",.,,,,preventive,spring-guides,gs-accessing-data-jpa
c220f535fbd1cedb6ec023256af52c6272e64c13,"Update the Jenkins path

to get the build to work on the server.",.,,,,adaptive,spring-guides,gs-accessing-data-jpa
4a9fd52f8dc4b4ada52613476a8338d088931634,Upgrade Jenkins to Java 17,.,,,,adaptive,spring-guides,gs-accessing-data-jpa
80ffc79a2e6955123b9cc264a2debbd00db28949,"Upgrade to Spring Boot 3.0.0

including changing javax.persistence to jakarta.persistence.",initial complete complete/src/main/java/com/example/accessingdatajpa,,,,adaptive,spring-guides,gs-accessing-data-jpa
e06d8cf55401e32222f4cebcda12bd71ccc68fd4,Set Java version to 1.8,initial complete,,,,adaptive,spring-guides,gs-accessing-data-jpa
eef3f709242c2aabd64bf82d3f4ecb04cee6c45e,"Upgrade Boot and Gradle versions

to 2.7.0 and 7.4.2, respectively.",initial initial/gradle/wrapper complete/gradle/wrapper complete,,,,adaptive,spring-guides,gs-accessing-data-jpa
7f3f43782b8b30c5d6bcf725ebd4687875f5fbac,Update to Spring Boot 2.6.3,initial complete,,,,adaptive,spring-guides,gs-accessing-data-jpa
a4905daf9584ea0731b559be9934b20aa9b5a085,"Add pre-populated Initializr link

to fill in the project settings, as a convenience.",.,,,,additive,spring-guides,gs-accessing-data-jpa
6148e3ec29278f8c7765cbfe2d79a1d500a99b1b,"Update to Boot 2.5.2

Boot 2.5.2 required a newer version of Gradle, too, so I updated it
to the current version (7.1 as of this writing).",initial initial/gradle/wrapper complete/gradle/wrapper complete,,,,adaptive,spring-guides,gs-accessing-data-jpa
c149d117edeb4a116f2caae755e49803b8132a30,Migrate to maven wrapper.,test,,,,adaptive,spring-guides,gs-accessing-data-jpa
2768e34ff60deab99483b9c6ef8fb8165d820aec,Migrate to Jenkins for CI.,.,,,,adaptive,spring-guides,gs-accessing-data-jpa
159dbe49fd91ba7e3f0cff437c98edcb5298b419,Migrate to Jenkins for CI.,.,,,,adaptive,spring-guides,gs-accessing-data-jpa
cf7c798c1b5334ae0933e16efa59ac5c9d3ab9b6,Migrate from master to main.,.,,,,preventive,spring-guides,gs-accessing-data-jpa
fb2604818b6cad95a535b2446caf8d799f542036,"Set JVM to 1.8

Correct JVM version 11 to version 1.8 in the Initializr links.",.,,,,preventive,spring-guides,gs-accessing-data-jpa
eb3cfe616b00add92a3df9023c39b02635d81a01,"Improved the Spring Initializr section

Removed some redundancy in the links and added a manual option.
Also bumped the Spring Boot version to 2.4.3, to keep it current.",initial complete .,,,,perfective,spring-guides,gs-accessing-data-jpa
abd99ea0152a59f1377582f79f9db7db2f8446b6,"Use Java 8

Set travis.yml and the build files to Java 8.",initial complete .,,,,adaptive,spring-guides,gs-accessing-data-jpa
81f158b7fcf8a751d394b6044fd84f67c3322d6c,"Update openjdk version

to version 11, as the new builds require.",.,,,,adaptive,spring-guides,gs-accessing-data-jpa
fb554b2681f018db6e2bb281ddd369be6a654ae8,"Upgrade to Boot 2.4.2

Keeping the build files current and adding deep links to the Intializr.",initial complete .,,,,adaptive,spring-guides,gs-accessing-data-jpa
31ff9f1ea09120f0f6682ad228a1b372ef0d72dc,Upgrade LICENSE file to comply with standards.,.,,,,adaptive,spring-guides,gs-accessing-data-jpa
b3677c40156e05ae45d734b873f49b52b50dbdab,"Version update

Updated the Spring Boot, Gradle, and Maven versions.

Also removed the Initializr image and updated the README to match.",initial initial/.mvn/wrapper . initial/gradle/wrapper complete complete/.mvn/wrapper complete/gradle/wrapper images,,,,adaptive,spring-guides,gs-accessing-data-jpa
b3af19a0513c86cf9f36db753705bd5807352423,"replace findOne() with findById(), addresses issue #52",.,,,,corrective,spring-guides,gs-accessing-data-jpa
071d91f0efd57655e90671426050d5c3c8f85ac1,"removed duplicate block, addresses issue #53",.,,,,preventive,spring-guides,gs-accessing-data-jpa
1dae7f2a673289c4dfe38288599e9e470e26a75b,"Resolve java.lang.NoClassDefFoundError: javax/xml/bind/JAXBException: javax.xml.bind.JAXBException

https://github.com/spring-guides/gs-accessing-data-jpa/issues/29",initial,,,,adaptive,spring-guides,gs-accessing-data-jpa
c8b804a0d6cb0f2b22f17f463a628d5215cbf91d,"Update README.adoc

The world in the NOTE line 30 : `accesing-data-jpa` spell wrong",.,,,,corrective,spring-guides,gs-accessing-data-jpa
f0775973f9a6bcb6d4ab11e73dd38d589568c564,"Merge pull request #84 from ozzambra/master

Option to automatically update the SaaS fulfillment URL.",.,84.0,fulfillmentURL update is now automated. ,"Updating the fulfillment URL in AWS Marketplace Management Portal is automatically done while deploying the template. This is no longer a manual step for the seller. 

Note: The template requires the AWS Marketplace Product ID instead of the Product Code, as it was before. Product Code is retrieved by an API call.

By submitting this pull request, I confirm that you can use, modify, copy, and redistribute this contribution, under the terms of your choice.
",additive,aws-samples,aws-marketplace-serverless-saas-integration
88a12af72c682747c5729c8e0f94b7c446ffde6a,Updated Tests with new parameters,.,83.0,Remove post-deployment step to copy web content.,Removed web directory in repo. Embedded contents of web directory into template.yaml. Added custom function to automatically put contents to S3 bucket created in template.,preventive,aws-samples,aws-marketplace-serverless-saas-integration
c31ca403783ea5e360bb677d28fc2e35ee974851,Parameter was added to control fulfilment page url update. Scoped down Customer Resource's Policy,.,82.0,removed stack name dependency and replaced with unique ID segment fro…,"…m stack arn instead

*Issue #, if available:*
29 - long stack names cause the application to fail

*Description of changes:*
change the naming method for cloudfront origin to remove the stackname dependency

By submitting this pull request, I confirm that you can use, modify, copy, and redistribute this contribution, under the terms of your choice.
",additive,aws-samples,aws-marketplace-serverless-saas-integration
75cf928ccea0d5653abcc73e7a19075c43b5d690,Updated Readme with ProductId,.,60.0,Fix #57 - Handle case when subscription was deleted and ExpirationDate is unavailable in Entitlement object,,preventive,aws-samples,aws-marketplace-serverless-saas-integration
304b097f2d58ed37d50551662cb7f0b0f79831f3,Product's fulfillment URL is updated via Catalog API. Templates requires onw ProductId instead of the ProductCode.,.,79.0,"Minor cleanup to web/script.js, web/index.html and comments to src/re…","…gister-new-subscriber.js

*Issue #, if available:*

*Description of changes:*


By submitting this pull request, I confirm that you can use, modify, copy, and redistribute this contribution, under the terms of your choice.
",perfective,aws-samples,aws-marketplace-serverless-saas-integration
